Tinh/TP,Quan/Huyen,PN,WC,area,floor,Tien_ich,price_
Hà Nội,Tây Hồ,5.0,,41.0,1.0,3,5.3
Hà Nội,Thường Tín,4.0,,85.0,4.0,2,6.9
TP Hồ Chí Minh,Tân Phú,2.0,,66.0,2.0,2,5.3
TP Hồ Chí Minh,Quận 9,4.0,,99.0,3.0,0,8.2
TP Hồ Chí Minh,Thủ Đức,3.0,,83.0,2.0,1,5.7
Đà Nẵng,Liên Chiểu,4.0,,60.0,3.0,5,4.6
TP Hồ Chí Minh,Quận 9,4.0,,76.0,3.0,0,5.5
Hà Nội,Long Biên,3.0,,38.0,1.0,2,3.7
Đồng Nai,Biên Hòa,3.0,,83.0,1.0,3,5.3
TP Hồ Chí Minh,Tân Phú,2.0,,36.0,3.0,0,2.7
TP Hồ Chí Minh,Quận 9,2.0,,30.0,2.0,0,3.1
Đà Nẵng,Sơn Trà,4.0,,80.0,3.0,3,7.1
TP Hồ Chí Minh,Quận 7,5.0,,90.0,2.0,1,5.9
TP Hồ Chí Minh,Bình Tân,3.0,,120.0,2.0,5,5.6
TP Hồ Chí Minh,Quận 9,4.0,,110.0,3.0,1,8.2
TP Hồ Chí Minh,Thủ Đức,5.0,,139.0,3.0,1,7.3
TP Hồ Chí Minh,Thủ Đức,3.0,,59.3,4.0,3,6.6
TP Hồ Chí Minh,Quận 7,4.0,,55.0,3.0,4,4.7
TP Hồ Chí Minh,Quận 9,3.0,,66.0,3.0,1,8.5
TP Hồ Chí Minh,Bình Tân,2.0,,32.0,2.0,0,2.1
TP Hồ Chí Minh,Bình Tân,3.0,,77.0,3.0,4,5.7
TP Hồ Chí Minh,Tân Bình,5.0,,60.0,5.0,3,9.3
TP Hồ Chí Minh,Bình Tân,2.0,,43.0,3.0,1,2.5
TP Hồ Chí Minh,Tân Bình,7.0,,120.0,3.0,3,9.2
TP Hồ Chí Minh,Hóc Môn,7.0,,80.0,3.0,2,1.2
TP Hồ Chí Minh,Tân Phú,2.0,,30.0,2.0,0,3.4
TP Hồ Chí Minh,Tân Bình,3.0,,50.0,3.0,2,3.9
TP Hồ Chí Minh,Tân Bình,2.0,,90.0,2.0,3,5.6
TP Hồ Chí Minh,Tân Bình,4.0,,50.0,1.0,4,5.5
